User ID	Worker ID	Age	Gender	Education	Country	Consensus strategy	No consensus strategy	Other comments
d4sMfmxSGr5dYXkzf	AK7LGB1QOGA1P	37	Female	Bachelor's degree	USA	Couple of times I just chose the color to see if others would follow, but more often than not, wuuld wait to see what other teammates did as I often had small teams.  	First time I waited until timer ran down then switched...hahahaha.  Then most of the time I would just hold my own despite their pleas.  One time I waited too long to switch so the "run down the clock" strategy was not a good one.	none
d4sMfmxSGr5dYXkzf	AK7LGB1QOGA1P	37	Female	Bachelor's degree	USA	Couple of times I just chose the color to see if others would follow, but more often than not, wuuld wait to see what other teammates did as I often had small teams.  	First time I waited until timer ran down then switched...hahahaha.  Then most of the time I would just hold my own despite their pleas.  One time I waited too long to switch so the "run down the clock" strategy was not a good one.	none
E3Hbin7sDEPY6w7Jw	A32UE0WDFAUWBE	27	Male	Associate degree	USA	would rely on communication oeverall.	would rely on communication oeverall.	had an internet problem and couldn't return on time
ddZFKZuyJyNbtPvFT	A1DJK2BUZBJR8I	26	Male	High school degree or lower	USA	sent message about color i was	last minute change	
iGsHrgzvE4cTTJpML	AFZKP8TAXAUCR	23	Male	Attended college	USA			
69w4NCYp5T9czZKBR	A2XNO2KWLLGW6Z	25	Male	Bachelor's degree	USA			
yTvDceHqFSnoZfN4Z	AQF6BA3IZCV2L	25	Female	Attended college	USA	I called out the number of red or greens	I would change my color to the least popular or change my color in the last few seconds to throw people off	No comments
pd73cEGSGed4SSJnC	A1A8L6LU8E2YOA	27	Male	Associate degree	USA	I would choose whatever color showed up most on my screen then relay my information to others. I would then follow their advice	I would give false information such as "3 RED 1 GREEN" when the opposite was true 	
LkTWP86cbn6guEo7M	A27BPRHBM28XZS	29	Male	Associate degree	USA	seeing what the majority of players around me chose and choosing that color, then announcing the color	Just try to create confusion in the chat	
XkaCcfSdETv3B8FGW	A2581F7TDPAMBQ	36	Female	Bachelor's degree	USA	I tried to direct the other players as much as possible when playing team consensus.	I went with my best guess of the no-consensus for these rounds.	N/A
2A6KpCduTgkLTRuTG	A1OBB3PWYWK9KK	25	Female	Bachelor's degree	USA	I told the other players how many of each color I saw and changed my color to agree with the most others.	I changed my color to oppose the majority and lied about what I saw.	
jPptxcg4eNY4czh7W	A28ZPY6D5AS7GZ	44	Male	Attended college	USA	just tried to be what I could discern was the popular color	This was funner. Just be the one different color.	
NCNLPaoonLDCGbsqq	A2C7TMRC2QHTIW	27	Male	Bachelor's degree	USA	No strategy	No strategy	
sTLvz8DuPTLP9dcWL	A1EAEZ7VIHKQ2	30	Female	Attended college	USA	I just tried to go with what the majority chose.	I just tried to stay opposite the majority.	
4KyXWz6ezeyTmNNYf	AWD97KUKGN0LR	39	Male	Attended college	USA	Tried to look at majority of neighbors and match.  Stated how many were X color on my board.	Tried to send mixed messages about colors on my board and then change message late in round to get people to swap.	None but this was fun.
tALKH3dKkoan5Pd2g	A1D36KAPWAUPTJ	24	Male	High school degree or lower	USA	telling how many i saw a certain color, to convince them what the majority was	I tried to be deceitful and lie about how many I saw each color.	
kb2zSKd3ieRQddg7x	A2W59CL4UQ3S4S	35	Female	Doctoral degree or higher	USA	I tried to choose a similar color to my neighbors and check to see what the other people had by posting messages	I tried to be different than neighbors but it didn't always work. Also I have a JD not a Doctorate.	At the beginning I earned .40 and then it reset to zero. My bonus total should be .40 higher than what I saw at the end. Thanks again!!
xZC8PTvzZsPdGNSgN	A2VN3OJKI3R6HE	54	Male	Attended college	USA	Go with majority	oppose majority	
