"X"	"experiment"	"game"	"network"	"communication"	"adversaries"	"list_of_adversaries"	"visibles"	"list_of_visibles"	"consensus"	"color"	"distance"	"length"
"28"	"08.24.16"	1	"Barabasi-Albert"	"no_communication"	5	"[10, 14, 5, 20, 0]"	0	"[]"	"True"	"red"	0	48.177
"29"	"08.24.16"	4	"Barabasi-Albert"	"no_communication"	2	"[5, 4]"	0	"[]"	"False"	"white"	2	60
"30"	"08.24.16"	5	"Erdos-Renyi-dense"	"no_communication"	5	"[9, 2, 10, 19, 3]"	0	"[]"	"False"	"white"	8	60
"31"	"08.24.16"	7	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	2	60
"32"	"08.24.16"	8	"Barabasi-Albert"	"no_communication"	0	"[]"	0	"[]"	"True"	"green"	0	59.004
"33"	"08.24.16"	11	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	0	"[]"	"True"	"green"	0	11.828
"34"	"08.24.16"	12	"Erdos-Renyi-sparse"	"no_communication"	2	"[0, 5]"	0	"[]"	"False"	"white"	4	60
"35"	"08.24.16"	16	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	2	60
"36"	"08.24.16"	18	"Erdos-Renyi-dense"	"no_communication"	5	"[8, 9, 19, 18, 14]"	0	"[]"	"False"	"white"	1	60
"37"	"08.24.16"	19	"Barabasi-Albert"	"no_communication"	2	"[9, 16]"	0	"[]"	"True"	"red"	0	27.699
"38"	"08.24.16"	23	"Erdos-Renyi-dense"	"no_communication"	2	"[18, 8]"	0	"[]"	"False"	"white"	4	60
"39"	"08.24.16"	24	"Erdos-Renyi-sparse"	"no_communication"	5	"[5, 7, 15, 13, 8]"	0	"[]"	"False"	"white"	9	60
"40"	"08.24.16"	26	"Erdos-Renyi-dense"	"no_communication"	5	"[17, 0, 3, 10, 11]"	0	"[]"	"True"	"green"	0	25.687
"41"	"08.24.16"	30	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	0	"[]"	"True"	"green"	0	39.019
"42"	"08.24.16"	31	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	3	60
"43"	"08.24.16"	33	"Barabasi-Albert"	"no_communication"	5	"[8, 23, 6, 14, 17]"	0	"[]"	"True"	"green"	0	11.059
"44"	"08.24.16"	34	"Erdos-Renyi-sparse"	"no_communication"	2	"[17, 19]"	0	"[]"	"False"	"white"	8	60
"45"	"08.24.16"	35	"Erdos-Renyi-sparse"	"no_communication"	2	"[17, 8]"	0	"[]"	"False"	"white"	5	60
"46"	"08.24.16"	37	"Erdos-Renyi-dense"	"no_communication"	2	"[20, 5]"	0	"[]"	"True"	"red"	0	53.4
"47"	"08.24.16"	38	"Barabasi-Albert"	"no_communication"	0	"[]"	0	"[]"	"True"	"red"	0	50.055
"48"	"08.24.16"	39	"Barabasi-Albert"	"no_communication"	5	"[20, 0, 18, 16, 1]"	0	"[]"	"True"	"red"	0	32.195
"49"	"08.24.16"	48	"Barabasi-Albert"	"no_communication"	2	"[9, 7]"	0	"[]"	"True"	"red"	0	25.21
"50"	"08.24.16"	49	"Barabasi-Albert"	"no_communication"	0	"[]"	0	"[]"	"True"	"red"	0	13.181
"51"	"08.24.16"	50	"Erdos-Renyi-sparse"	"no_communication"	5	"[24, 13, 5, 14, 2]"	0	"[]"	"True"	"red"	0	55.408
"52"	"08.24.16"	52	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	0	"[]"	"True"	"red"	0	26.53
"53"	"08.24.16"	53	"Erdos-Renyi-sparse"	"no_communication"	5	"[23, 0, 8, 14, 3]"	0	"[]"	"False"	"white"	8	60
"54"	"09.02.16"	4	"Erdos-Renyi-sparse"	"no_communication"	2	"[14, 7]"	0	"[]"	"True"	"red"	0	28.362
"55"	"09.02.16"	8	"Barabasi-Albert"	"no_communication"	2	"[6, 11]"	0	"[]"	"True"	"green"	0	26.848
"56"	"09.02.16"	10	"Erdos-Renyi-sparse"	"no_communication"	5	"[10, 12, 19, 7, 20]"	0	"[]"	"False"	"white"	8	60
"57"	"09.02.16"	17	"Barabasi-Albert"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	1	60
"58"	"09.02.16"	20	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	0	"[]"	"True"	"red"	0	55.208
"59"	"09.02.16"	25	"Barabasi-Albert"	"no_communication"	5	"[15, 7, 6, 9, 20]"	0	"[]"	"True"	"green"	0	15.189
"60"	"09.02.16"	39	"Erdos-Renyi-dense"	"no_communication"	5	"[6, 0, 20, 24, 1]"	0	"[]"	"False"	"white"	3	60
"61"	"09.02.16"	49	"Erdos-Renyi-dense"	"no_communication"	2	"[18, 4]"	0	"[]"	"False"	"white"	2	60
"62"	"09.02.16"	53	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	10	60
"63"	"09.09.16"	2	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	5	60
"64"	"09.09.16"	3	"Barabasi-Albert"	"no_communication"	0	"[]"	0	"[]"	"True"	"red"	0	45.314
"65"	"09.09.16"	4	"Erdos-Renyi-dense"	"no_communication"	5	"[9, 24, 18, 1, 5]"	0	"[]"	"False"	"white"	5	60
"66"	"09.09.16"	6	"Erdos-Renyi-sparse"	"no_communication"	5	"[1, 21, 0, 7, 6]"	0	"[]"	"False"	"white"	7	60
"67"	"09.09.16"	9	"Barabasi-Albert"	"no_communication"	5	"[0, 1, 11, 15, 10]"	0	"[]"	"False"	"white"	5	60
"68"	"09.09.16"	10	"Erdos-Renyi-dense"	"no_communication"	2	"[3, 0]"	0	"[]"	"True"	"red"	0	19.837
"69"	"09.09.16"	17	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	6	60
"70"	"09.09.16"	19	"Barabasi-Albert"	"no_communication"	5	"[17, 3, 8, 0, 18]"	0	"[]"	"False"	"white"	10	60
"71"	"09.09.16"	21	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	0	"[]"	"True"	"green"	0	31.337
"72"	"09.09.16"	22	"Barabasi-Albert"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	7	60
"73"	"09.09.16"	24	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	9	60
"74"	"09.09.16"	26	"Erdos-Renyi-sparse"	"no_communication"	5	"[20, 21, 11, 16, 13]"	0	"[]"	"False"	"white"	8	60
"75"	"09.09.16"	27	"Erdos-Renyi-dense"	"no_communication"	2	"[21, 18]"	0	"[]"	"False"	"white"	4	60
"76"	"09.09.16"	35	"Barabasi-Albert"	"no_communication"	5	"[20, 3, 13, 19, 24]"	0	"[]"	"False"	"white"	6	60
"77"	"09.09.16"	36	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	0	"[]"	"False"	"white"	2	60
"78"	"09.09.16"	37	"Erdos-Renyi-sparse"	"no_communication"	5	"[19, 12, 20, 4, 22]"	0	"[]"	"False"	"white"	9	60
"79"	"09.09.16"	38	"Erdos-Renyi-dense"	"no_communication"	5	"[20, 23, 4, 6, 19]"	0	"[]"	"False"	"white"	10	60
"80"	"09.09.16"	41	"Barabasi-Albert"	"no_communication"	0	"[]"	0	"[]"	"True"	"green"	0	26.798
"81"	"09.09.16"	42	"Barabasi-Albert"	"no_communication"	2	"[13, 14]"	0	"[]"	"False"	"white"	2	60
"82"	"09.09.16"	48	"Barabasi-Albert"	"no_communication"	2	"[0, 19]"	0	"[]"	"False"	"white"	10	60
"83"	"09.09.16"	50	"Erdos-Renyi-sparse"	"no_communication"	2	"[4, 20]"	0	"[]"	"False"	"white"	9	60
"84"	"09.09.16"	52	"Barabasi-Albert"	"no_communication"	2	"[2, 17]"	0	"[]"	"True"	"red"	0	29.671
"85"	"09.09.16"	53	"Erdos-Renyi-sparse"	"no_communication"	2	"[5, 2]"	0	"[]"	"False"	"white"	9	60
"86"	"09.09.16"	54	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	0	"[]"	"True"	"red"	0	12.858
"112"	"09.30.16"	1	"Barabasi-Albert"	"no_communication"	5	"[18, 17, 19, 9, 5]"	0	"[]"	"True"	"green"	0	18.706
"114"	"09.30.16"	7	"Barabasi-Albert"	"no_communication"	0	"[]"	0	"[]"	"True"	"green"	0	12.333
"117"	"09.30.16"	18	"Erdos-Renyi-dense"	"no_communication"	2	"[21, 9]"	0	"[]"	"False"	"white"	4	60
"123"	"09.30.16"	36	"Erdos-Renyi-sparse"	"no_communication"	5	"[16, 23, 22, 7, 8]"	0	"[]"	"False"	"white"	7	60
"124"	"09.30.16"	40	"Erdos-Renyi-dense"	"no_communication"	2	"[8, 17]"	0	"[]"	"False"	"white"	1	60
"128"	"10.14.16"	19	"Barabasi-Albert"	"no_communication"	2	"[5, 11]"	0	"[]"	"True"	"green"	0	52.333
"129"	"10.14.16"	27	"Erdos-Renyi-dense"	"no_communication"	5	"[9, 15, 5, 16, 24]"	0	"[]"	"False"	"white"	7	60
"131"	"10.14.16"	33	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	0	"[]"	"True"	"red"	0	55.87
"135"	"10.14.16"	37	"Erdos-Renyi-dense"	"no_communication"	5	"[0, 13, 18, 23, 10]"	0	"[]"	"False"	"white"	5	60
"136"	"10.14.16"	46	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	0	"[]"	"True"	"red"	0	15.339
"137"	"10.14.16"	49	"Erdos-Renyi-sparse"	"no_communication"	2	"[2, 10]"	0	"[]"	"True"	"green"	0	36.262
"525"	"03.10.17"	1	"Erdos-Renyi-sparse"	"no_communication"	2	"[1, 9]"	5	"[21, 19, 3, 11, 7]"	"False"	"white"	1	60
"526"	"03.10.17"	2	"Barabasi-Albert"	"no_communication"	0	"[]"	2	"[3, 16]"	"True"	"red"	0	40.601
"527"	"03.10.17"	3	"Barabasi-Albert"	"no_communication"	2	"[6, 10]"	1	"[9]"	"False"	"white"	8	60
"528"	"03.10.17"	4	"Barabasi-Albert"	"no_communication"	5	"[6, 8, 9, 10, 13]"	2	"[20, 4]"	"False"	"white"	3	60
"529"	"03.10.17"	5	"Barabasi-Albert"	"no_communication"	5	"[5, 6, 1, 22, 16]"	5	"[24, 18, 21, 2, 23]"	"False"	"white"	4	60
"530"	"03.10.17"	6	"Barabasi-Albert"	"no_communication"	5	"[7, 12, 0, 23, 13]"	2	"[22, 5]"	"False"	"white"	7	60
"531"	"03.10.17"	7	"Erdos-Renyi-sparse"	"no_communication"	5	"[16, 22, 18, 19, 24]"	5	"[23, 12, 1, 7, 4]"	"False"	"white"	4	60
"533"	"03.10.17"	9	"Erdos-Renyi-dense"	"no_communication"	2	"[20, 11]"	2	"[0, 8]"	"False"	"white"	7	60
"534"	"03.10.17"	10	"Erdos-Renyi-dense"	"no_communication"	5	"[6, 23, 5, 7, 8]"	1	"[9]"	"False"	"white"	10	60
"535"	"03.10.17"	11	"Barabasi-Albert"	"no_communication"	5	"[15, 13, 12, 22, 10]"	1	"[21]"	"True"	"green"	0	42.758
"536"	"03.10.17"	12	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	1	"[10]"	"False"	"white"	6	60
"538"	"03.10.17"	14	"Erdos-Renyi-sparse"	"no_communication"	2	"[3, 6]"	2	"[11, 14]"	"False"	"white"	4	60
"539"	"03.10.17"	15	"Barabasi-Albert"	"no_communication"	5	"[11, 9, 3, 6, 12]"	1	"[10]"	"True"	"green"	0	26.306
"540"	"03.10.17"	16	"Erdos-Renyi-dense"	"no_communication"	5	"[12, 14, 23, 2, 7]"	5	"[5, 1, 16, 8, 4]"	"False"	"white"	2	60
"543"	"03.10.17"	22	"Erdos-Renyi-dense"	"no_communication"	5	"[9, 7, 17, 4, 1]"	2	"[14, 21]"	"False"	"white"	9	60
"544"	"03.10.17"	23	"Erdos-Renyi-dense"	"no_communication"	5	"[18, 9, 7, 2, 13]"	1	"[24]"	"False"	"white"	8	60
"545"	"03.10.17"	24	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	1	"[6]"	"False"	"white"	5	60
"546"	"03.10.17"	25	"Erdos-Renyi-sparse"	"no_communication"	5	"[12, 3, 21, 20, 24]"	5	"[22, 10, 2, 4, 15]"	"False"	"white"	10	60
"547"	"03.10.17"	26	"Erdos-Renyi-sparse"	"no_communication"	2	"[5, 0]"	5	"[17, 10, 1, 9, 14]"	"False"	"white"	2	60
"548"	"03.10.17"	27	"Barabasi-Albert"	"no_communication"	5	"[22, 10, 21, 5, 4]"	5	"[6, 13, 1, 0, 24]"	"True"	"green"	0	57.746
"549"	"03.10.17"	28	"Barabasi-Albert"	"no_communication"	2	"[6, 9]"	2	"[3, 13]"	"True"	"green"	0	14.492
"551"	"03.10.17"	30	"Erdos-Renyi-sparse"	"no_communication"	0	"[]"	5	"[5, 0, 14, 18, 11]"	"False"	"white"	8	60
"553"	"03.10.17"	32	"Erdos-Renyi-dense"	"no_communication"	2	"[16, 13]"	5	"[3, 0, 14, 5, 10]"	"False"	"white"	5	60
"555"	"03.10.17"	34	"Barabasi-Albert"	"no_communication"	2	"[10, 21]"	2	"[14, 11]"	"False"	"white"	2	60
"556"	"03.10.17"	35	"Erdos-Renyi-dense"	"no_communication"	2	"[15, 18]"	2	"[19, 12]"	"False"	"white"	1	60
"559"	"03.10.17"	38	"Barabasi-Albert"	"no_communication"	0	"[]"	1	"[6]"	"False"	"white"	2	60
"560"	"03.10.17"	39	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	2	"[6, 3]"	"True"	"red"	0	16.156
"561"	"03.10.17"	40	"Erdos-Renyi-sparse"	"no_communication"	5	"[19, 23, 13, 3, 22]"	2	"[2, 12]"	"False"	"white"	7	60
"562"	"03.10.17"	43	"Barabasi-Albert"	"no_communication"	0	"[]"	5	"[8, 17, 5, 3, 7]"	"True"	"red"	0	52.278
"563"	"03.10.17"	44	"Erdos-Renyi-dense"	"no_communication"	5	"[1, 17, 2, 18, 23]"	5	"[13, 22, 11, 6, 7]"	"False"	"white"	2	60
"564"	"03.10.17"	45	"Erdos-Renyi-dense"	"no_communication"	2	"[13, 6]"	1	"[20]"	"False"	"white"	2	60
"566"	"03.10.17"	47	"Erdos-Renyi-sparse"	"no_communication"	5	"[4, 13, 16, 21, 12]"	1	"[2]"	"False"	"white"	8	60
"567"	"03.10.17"	48	"Erdos-Renyi-dense"	"no_communication"	0	"[]"	1	"[2]"	"False"	"white"	2	60
"568"	"03.10.17"	49	"Barabasi-Albert"	"no_communication"	0	"[]"	5	"[9, 12, 10, 13, 3]"	"False"	"white"	6	60
