#visibleNodes,#adversarial,network,ratio
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,0
0,2,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,1
0,2,Erdos-Renyi-dense,0
0,5,Erdos-Renyi-dense,1
0,5,Erdos-Renyi-dense,1
0,5,Erdos-Renyi-dense,1
0,5,Erdos-Renyi-dense,0
0,5,Erdos-Renyi-dense,0
0,5,Erdos-Renyi-dense,0
0,5,Erdos-Renyi-dense,1
0,5,Erdos-Renyi-dense,0
0,5,Erdos-Renyi-dense,1
0,5,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,0
1,2,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,0
1,2,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,1
1,5,Erdos-Renyi-dense,1
1,5,Erdos-Renyi-dense,1
1,5,Erdos-Renyi-dense,0
1,5,Erdos-Renyi-dense,0
1,5,Erdos-Renyi-dense,1
1,5,Erdos-Renyi-dense,0
1,5,Erdos-Renyi-dense,0
1,5,Erdos-Renyi-dense,0
1,5,Erdos-Renyi-dense,1
1,5,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,1
