#visibleNodes,#adversarial,network,time
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,0,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,0,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
5,0,Erdos-Renyi-dense,5
5,0,Erdos-Renyi-dense,5
5,0,Erdos-Renyi-dense,5
5,0,Erdos-Renyi-dense,5
5,0,Erdos-Renyi-dense,5
5,0,Erdos-Renyi-dense,5
5,0,Erdos-Renyi-dense,5
